TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
4.7,-3,-1298,-1246,,,,,,,,,,,,,,,,
4.71,-4,-1450,-1397,,,,,,,,,,,,,,,,
4.72,-3,-1561,-1505,,,,,,,,,,,,,,,,
4.73,-2,-1620,-1565,,,,,,,,,,,,,,,,
4.74,-4,-1626,-1576,,,,,,,,,,,,,,,,
4.75,-4,-1582,-1535,,,,,,,,,,,,,,,,
4.76,-3,-1497,-1451,,,,,,,,,,,,,,,,
4.77,-1,-1375,-1328,,,,,,,,,,,,,,,,
4.78,1,-1231,-1182,,,,,,,,,,,,,,,,
4.79,4,-1076,-1026,,,,,,,,,,,,,,,,
4.8,5,-925,-871,,,,,,,,,,,,,,,,
4.81,7,-783,-725,,,,,,,,,,,,,,,,
4.82,7,-654,-594,,,,,,,,,,,,,,,,
4.83,7,-530,-471,,,,,,,,,,,,,,,,
4.84,7,-414,-356,,,,,,,,,,,,,,,,
4.85,9,-303,-251,,,,,,,,,,,,,,,,
4.86,8,-204,-158,,,,,,,,,,,,,,,,
4.87,5,-116,-73,,,,,,,,,,,,,,,,
4.88,3,-40,-4,,,,,,,,,,,,,,,,
4.89,2,24,54,,,,,,,,,,,,,,,,
4.9,0,75,96,,,,,,,,,,,,,,,,
4.91,-2,112,123,,,,,,,,,,,,,,,,
4.92,-2,136,137,,,,,,,,,,,,,,,,
4.93,-3,146,144,,,,,,,,,,,,,,,,
4.94,-5,144,141,,,,,,,,,,,,,,,,
4.95,-6,137,136,,,,,,,,,,,,,,,,
4.96,-6,138,141,,,,,,,,,,,,,,,,
4.97,-5,145,151,,,,,,,,,,,,,,,,
4.98,-5,162,167,,,,,,,,,,,,,,,,
4.99,-5,186,188,,,,,,,,,,,,,,,,
5.0,-5,215,216,,,,,,,,,,,,,,,,
5.01,-4,246,245,,,,,,,,,,,,,,,,
5.02,-3,277,276,,,,,,,,,,,,,,,,
5.03,-1,312,309,,,,,,,,,,,,,,,,
5.04,-1,351,345,,,,,,,,,,,,,,,,
5.05,-1,392,383,,,,,,,,,,,,,,,,
5.06,-2,432,417,,,,,,,,,,,,,,,,
5.07,-4,469,448,,,,,,,,,,,,,,,,
